twt_id,twt_created_at,twt_text,twt_rt_count,twt_source,twt_user_id,twt_user_location,twt_user_following,twt_user_screen_name,twt_user_friends_count,twt_user_statuses_count,twt_user_lang,twt_user_created_at
844928355472490497,Thu Mar 23 15:06:32 +0000 2017,  La Pologne prefere son zloty a l'#euro #Brexit #Grexit #Italexit #Frexit: plus personne ne veut de cette monnaie! htt...,0,,3041715159,Macedonia  Greece,None,faid0nz,82,15182,el,23-03-2017
844928363030568962,Thu Mar 23 15:06:34 +0000 2017,  EU #Brexit negotiator: If UK-EU talks fail  Britain will face fuel shortages and air traffic disruption ...,0,,24002724,Washington  DC USA,None,TonyFratto,2905,80529,en,23-03-2017
844928369007476739,Thu Mar 23 15:06:35 +0000 2017,#UniteForEurope An alternative hobby for people who can't find a steam locomotive  to restore. ,0,,776012214,On the edge of chaos,None,Sage_Opinion,289,12094,en,23-03-2017
844928372430000130,Thu Mar 23 15:06:36 +0000 2017,#StopBrexit #UniteforEurope  #remain #brexit #MarchforRemain ,0,,46688507,Videix  Limousin  France,None,LesTroisChenes,1713,12438,en,23-03-2017
844928387097485312,Thu Mar 23 15:06:40 +0000 2017,Turbo mode... ON!   #brexit #wontbemissed #noborders #EU #StayTogether #ScottlandStays #britishBetterBuyEurosNow... ,0,,190131220,Alemania,None,el_fitillo,29,84,en,23-03-2017
844928394185838594,Thu Mar 23 15:06:41 +0000 2017,  Goldman Sachs trasladaria empleados por efecto #Brexit ,0,,2789415127,Catalunya,None,Llegui1968,520,9429,es,23-03-2017
844928394714329091,Thu Mar 23 15:06:41 +0000 2017,Joe Healy - Agriculture needs to be treated as a priority during #Brexit negotiations @ASAireland,0,,552054099,Bluebell  Dublin 12  Ireland,None,AgriAware,1009,5064,en,23-03-2017
844928400032759808,Thu Mar 23 15:06:43 +0000 2017,#Brexit: l'ambasciatrice britannica //t.co/jBPde7pnF6,0,,282719746,Bologna  Italy,None,BolognaBSchool,206,4693,it,23-03-2017
844928414901567488,Thu Mar 23 15:06:46 +0000 2017,Capital Markets Union will become even more important with the prospect of the UK leaving the EU. #CHCity #Brexit #CMU,0,,325029776,London,None,CH_Events,114,4365,en,23-03-2017
844928446564368384,Thu Mar 23 15:06:54 +0000 2017,Unite for Europe sister act on the march in Copenhagen via //t.co/X1LCrCbiqo,0,,3235220435,United Kingdom,None,UKIPNFKN,12034,120669,en,23-03-2017
844928466772471808,Thu Mar 23 15:06:59 +0000 2017,  Yes: keep making it clear that the march on 25 March is STOP #BREXIT. There are no hard &amp; soft Brexits  there's onl... ,0,,2253516217,UK,None,lulilaw,137,5787,en,23-03-2017
844928504709992448,Thu Mar 23 15:07:08 +0000 2017,@_silenzi0 #UK's attempt to counter 6-state #EEC w/ 7-state #FTA FAILED &amp; UK joined EEC in 1973. #Brexit #facts  #Europe #EU #Eurozone,0,,827852289088028673,Europe (pro-Federal Eurozone),None,_silenzi0,391,3014,en,23-03-2017
844928514763698176,Thu Mar 23 15:07:10 +0000 2017,Post #Brexit; Brits should throw radical Isalmists out not hard working eastern Europeans ,0,,800319772600610816,England  United Kingdom,None,solomon99999000,15446,232785,en,23-03-2017
844928524255399937,Thu Mar 23 15:07:12 +0000 2017,  VIDEO  L'immigration massive est voulue par les technocrates de Bruxelles. #Schengen est un echec t... ,0,,2579340648,En Romandie ... mais a droite ,None,1291Grutli,255,17575,fr,23-03-2017
844928530664312838,Thu Mar 23 15:07:14 +0000 2017,Healing the divisions of #Brexit: A positive vision for #Equality &amp; #HumanRights in the #UK by //t.co/13F3HhwYKL,0,,52676679,Cardiff  UK,None,DigitalAmoeba,606,14453,en,23-03-2017
844928574943645696,Thu Mar 23 15:07:24 +0000 2017,  He really is a prize buffoon ... #BorisJohnson #Brexit ,0,,2350648896,Colchester ,None,JulietMEvans,4991,33418,en,23-03-2017
844928582358986752,Thu Mar 23 15:07:26 +0000 2017,  .. or it will be the most radicalised Islamic country in Europe. Privatise #BBC even before moving #Brexit bill  #LondonA...,0,,2511979410,I follow active tweeps.,None,Terrence101010,4166,454690,en,23-03-2017
844928596703629312,Thu Mar 23 15:07:30 +0000 2017,  EIGHT arrested in #LondonTerrorAttack. Now 40+ listed as injured  some critical #UKIP #BREXIT #Trump #teaparty https://t.c...,0,,854982762,random opium den~19th c London,None,Zander9899,2275,15730,en,23-03-2017
844928602777010176,Thu Mar 23 15:07:31 +0000 2017,#Trump one of the few world leaders to state that #Brexit will be Superb for Britain ,0,,806090889156169728,Singapore,None,whiskey999111,12958,201723,en,23-03-2017
844928619415830529,Thu Mar 23 15:07:35 +0000 2017,  The UK's ambiguous attitude towards political unions.  #Brexit #indyref2 ,0,,283592330,Scotland  United Kingdom,None,ChrisCathrine,914,34930,en,23-03-2017
844928623236857857,Thu Mar 23 15:07:36 +0000 2017,Why am I not surprised. #Trump #maga london parliament attacks #americafirst #brexit #underdoges ,0,,714614269032198144,Brooklyn  NY,None,realjunsonchan,26757,17106,en,23-03-2017
844928631252156416,Thu Mar 23 15:07:38 +0000 2017,Confirmation we have the flag. 4 /pol/ - 0 //t.co/2m7EFvrA5z,0,,826858117103308805,Kekistan  Earth ,None,KekistaniRefuge,87,165,en,23-03-2017
844928660675158017,Thu Mar 23 15:07:45 +0000 2017,SB from @OpenEurope - role for @fsb_policy to support small biz through #Brexit and championing their interests during negotiations #FSB2017,0,,10219042,London  UK,None,davidcgeary,1483,1681,en,23-03-2017
